Service ID,Site ID,Customer ID,Service Type,Bandwidth Mbps,Assignment Group
SVC-00373,SITE-0191,CUST-018,Managed Cloud,,Cloud Ops
SVC-00374,SITE-0191,CUST-018,SD-WAN,200,Field - Quebec
SVC-00375,SITE-0191,CUST-018,Managed Security,,Security Ops
SVC-00376,SITE-0192,CUST-018,MPLS WAN,10000,Field - Quebec
SVC-00377,SITE-0192,CUST-018,Business Voice (SIP),,Voice Ops
SVC-00378,SITE-0193,CUST-018,Dedicated Internet,10000,Field - Quebec
SVC-00379,SITE-0193,CUST-018,Business Voice (SIP),,Voice Ops
SVC-00380,SITE-0193,CUST-018,SD-WAN,1000,Field - Quebec
SVC-00381,SITE-0193,CUST-018,MPLS WAN,1000,Field - Quebec
SVC-00382,SITE-0194,CUST-018,Business Voice (SIP),,Voice Ops
SVC-00383,SITE-0194,CUST-018,MPLS WAN,10000,Field - Quebec
SVC-00384,SITE-0195,CUST-018,MPLS WAN,1000,Field - Quebec
SVC-00385,SITE-0196,CUST-018,SD-WAN,2000,Field - Quebec
SVC-00386,SITE-0197,CUST-018,Business Voice (SIP),,Voice Ops
SVC-00387,SITE-0198,CUST-018,SD-WAN,10000,Field - Quebec
SVC-00388,SITE-0199,CUST-018,MPLS WAN,10000,Field - Quebec
SVC-00389,SITE-0200,CUST-019,Business Voice (SIP),,Voice Ops
SVC-00390,SITE-0200,CUST-019,MPLS WAN,2000,Field - Ontario
SVC-00391,SITE-0201,CUST-019,Dedicated Internet,100,Field - Ontario
SVC-00392,SITE-0201,CUST-019,Managed Cloud,,Cloud Ops
SVC-00393,SITE-0201,CUST-019,Managed Security,,Security Ops
SVC-00394,SITE-0202,CUST-019,Dedicated Internet,1000,Field - Atlantic
SVC-00395,SITE-0202,CUST-019,MPLS WAN,1000,Field - Atlantic
SVC-00396,SITE-0203,CUST-019,Managed Security,,Security Ops
SVC-00397,SITE-0204,CUST-019,Dedicated Internet,10000,Field - West
SVC-00398,SITE-0204,CUST-019,Business Voice (SIP),,Voice Ops
SVC-00399,SITE-0204,CUST-019,MPLS WAN,500,Field - West
SVC-00400,SITE-0205,CUST-019,Managed Security,,Security Ops
SVC-00401,SITE-0205,CUST-019,MPLS WAN,2000,Field - West
SVC-00402,SITE-0206,CUST-019,Managed Cloud,,Cloud Ops
SVC-00403,SITE-0206,CUST-019,SD-WAN,2000,Field - Quebec
SVC-00404,SITE-0207,CUST-019,Managed Cloud,,Cloud Ops
SVC-00405,SITE-0207,CUST-019,Dedicated Internet,500,Field - Ontario
SVC-00406,SITE-0207,CUST-019,SD-WAN,2000,Field - Ontario
SVC-00407,SITE-0208,CUST-019,Dedicated Internet,100,Field - Atlantic
SVC-00408,SITE-0208,CUST-019,SD-WAN,10000,Field - Atlantic
SVC-00409,SITE-0208,CUST-019,Business Voice (SIP),,Voice Ops
SVC-00410,SITE-0209,CUST-019,Business Voice (SIP),,Voice Ops
SVC-00411,SITE-0210,CUST-019,Managed Security,,Security Ops
SVC-00412,SITE-0211,CUST-019,Managed Security,,Security Ops
SVC-00413,SITE-0211,CUST-019,MPLS WAN,50,Field - West
SVC-00414,SITE-0211,CUST-019,Business Voice (SIP),,Voice Ops
SVC-00415,SITE-0211,CUST-019,SD-WAN,10000,Field - West
SVC-00416,SITE-0212,CUST-019,SD-WAN,50,Field - Quebec
SVC-00417,SITE-0212,CUST-019,MPLS WAN,200,Field - Quebec
SVC-00418,SITE-0212,CUST-019,Business Voice (SIP),,Voice Ops
SVC-00419,SITE-0213,CUST-020,Dedicated Internet,500,Field - Quebec
SVC-00420,SITE-0214,CUST-020,Business Voice (SIP),,Voice Ops
SVC-00421,SITE-0215,CUST-020,Managed Security,,Security Ops
SVC-00422,SITE-0215,CUST-020,Dedicated Internet,200,Field - Quebec
SVC-00423,SITE-0216,CUST-020,Dedicated Internet,1000,Field - Ontario
SVC-00424,SITE-0216,CUST-020,Business Voice (SIP),,Voice Ops
SVC-00425,SITE-0216,CUST-020,MPLS WAN,200,Field - Ontario
SVC-00426,SITE-0216,CUST-020,Managed Cloud,,Cloud Ops
SVC-00427,SITE-0217,CUST-020,Business Voice (SIP),,Voice Ops
SVC-00428,SITE-0218,CUST-021,Business Voice (SIP),,Voice Ops
SVC-00429,SITE-0218,CUST-021,SD-WAN,200,Field - West
SVC-00430,SITE-0219,CUST-021,Business Voice (SIP),,Voice Ops
SVC-00431,SITE-0219,CUST-021,Dedicated Internet,10000,Field - Quebec
SVC-00432,SITE-0220,CUST-021,SD-WAN,100,Field - Quebec
SVC-00433,SITE-0220,CUST-021,Dedicated Internet,200,Field - Quebec
SVC-00434,SITE-0221,CUST-021,Managed Security,,Security Ops
SVC-00435,SITE-0222,CUST-021,Managed Security,,Security Ops
SVC-00436,SITE-0222,CUST-021,SD-WAN,1000,Field - Quebec
SVC-00437,SITE-0223,CUST-021,Managed Cloud,,Cloud Ops
SVC-00438,SITE-0223,CUST-021,Business Voice (SIP),,Voice Ops
SVC-00439,SITE-0223,CUST-021,Dedicated Internet,200,Field - Quebec
SVC-00440,SITE-0224,CUST-021,Dedicated Internet,10000,Field - Quebec
SVC-00441,SITE-0225,CUST-021,Managed Cloud,,Cloud Ops
SVC-00442,SITE-0226,CUST-021,SD-WAN,100,Field - Quebec
SVC-00443,SITE-0227,CUST-021,Dedicated Internet,50,Field - Quebec
SVC-00444,SITE-0227,CUST-021,MPLS WAN,1000,Field - Quebec
SVC-00445,SITE-0228,CUST-021,SD-WAN,200,Field - Quebec
SVC-00446,SITE-0228,CUST-021,Business Voice (SIP),,Voice Ops
SVC-00447,SITE-0228,CUST-021,Managed Security,,Security Ops
SVC-00448,SITE-0229,CUST-021,Dedicated Internet,2000,Field - West
SVC-00449,SITE-0229,CUST-021,Managed Cloud,,Cloud Ops
SVC-00450,SITE-0229,CUST-021,SD-WAN,500,Field - West
SVC-00451,SITE-0230,CUST-021,SD-WAN,200,Field - Quebec
SVC-00452,SITE-0231,CUST-021,SD-WAN,1000,Field - Quebec
SVC-00453,SITE-0231,CUST-021,Managed Security,,Security Ops
SVC-00454,SITE-0232,CUST-021,Dedicated Internet,100,Field - Quebec
SVC-00455,SITE-0233,CUST-021,SD-WAN,200,Field - Quebec
SVC-00456,SITE-0233,CUST-021,MPLS WAN,50,Field - Quebec
SVC-00457,SITE-0234,CUST-022,Managed Cloud,,Cloud Ops
SVC-00458,SITE-0235,CUST-022,MPLS WAN,2000,Field - Quebec
SVC-00459,SITE-0235,CUST-022,Dedicated Internet,200,Field - Quebec
SVC-00460,SITE-0235,CUST-022,SD-WAN,1000,Field - Quebec
SVC-00461,SITE-0235,CUST-022,Business Voice (SIP),,Voice Ops
SVC-00462,SITE-0236,CUST-022,Managed Cloud,,Cloud Ops
SVC-00463,SITE-0237,CUST-022,Dedicated Internet,500,Field - West
SVC-00464,SITE-0238,CUST-022,Dedicated Internet,50,Field - Ontario
SVC-00465,SITE-0238,CUST-022,SD-WAN,10000,Field - Ontario
SVC-00466,SITE-0238,CUST-022,Managed Cloud,,Cloud Ops
SVC-00467,SITE-0239,CUST-023,Business Voice (SIP),,Voice Ops
SVC-00468,SITE-0239,CUST-023,Managed Cloud,,Cloud Ops
SVC-00469,SITE-0239,CUST-023,Dedicated Internet,500,Field - Ontario
SVC-00470,SITE-0240,CUST-023,Dedicated Internet,200,Field - Ontario
SVC-00471,SITE-0240,CUST-023,Managed Security,,Security Ops
SVC-00472,SITE-0241,CUST-023,SD-WAN,500,Field - Ontario
SVC-00473,SITE-0241,CUST-023,MPLS WAN,100,Field - Ontario
SVC-00474,SITE-0241,CUST-023,Managed Security,,Security Ops
SVC-00475,SITE-0241,CUST-023,Managed Cloud,,Cloud Ops
SVC-00476,SITE-0242,CUST-023,Dedicated Internet,100,Field - Ontario
SVC-00477,SITE-0243,CUST-023,Managed Security,,Security Ops
SVC-00478,SITE-0243,CUST-023,SD-WAN,1000,Field - Ontario
SVC-00479,SITE-0243,CUST-023,Dedicated Internet,500,Field - Ontario
SVC-00480,SITE-0243,CUST-023,Business Voice (SIP),,Voice Ops
SVC-00481,SITE-0244,CUST-024,MPLS WAN,500,Field - Ontario
SVC-00482,SITE-0245,CUST-024,Managed Security,,Security Ops
SVC-00483,SITE-0245,CUST-024,Dedicated Internet,10000,Field - West
SVC-00484,SITE-0246,CUST-024,Business Voice (SIP),,Voice Ops
SVC-00485,SITE-0247,CUST-024,Managed Cloud,,Cloud Ops
SVC-00486,SITE-0247,CUST-024,Business Voice (SIP),,Voice Ops
SVC-00487,SITE-0248,CUST-024,Dedicated Internet,500,Field - West
SVC-00488,SITE-0248,CUST-024,Managed Security,,Security Ops
SVC-00489,SITE-0248,CUST-024,Business Voice (SIP),,Voice Ops
SVC-00490,SITE-0249,CUST-024,Business Voice (SIP),,Voice Ops
SVC-00491,SITE-0249,CUST-024,Dedicated Internet,500,Field - Ontario
SVC-00492,SITE-0250,CUST-024,SD-WAN,10000,Field - Ontario
SVC-00493,SITE-0250,CUST-024,Business Voice (SIP),,Voice Ops
SVC-00494,SITE-0251,CUST-024,Dedicated Internet,10000,Field - West
SVC-00495,SITE-0251,CUST-024,Managed Cloud,,Cloud Ops
SVC-00496,SITE-0252,CUST-024,Business Voice (SIP),,Voice Ops
SVC-00497,SITE-0252,CUST-024,Dedicated Internet,2000,Field - West
SVC-00498,SITE-0252,CUST-024,MPLS WAN,100,Field - West
SVC-00499,SITE-0253,CUST-024,Dedicated Internet,1000,Field - Quebec
SVC-00500,SITE-0253,CUST-024,Managed Cloud,,Cloud Ops
SVC-00501,SITE-0254,CUST-024,Dedicated Internet,10000,Field - West
SVC-00502,SITE-0254,CUST-024,Managed Cloud,,Cloud Ops
SVC-00503,SITE-0255,CUST-024,Business Voice (SIP),,Voice Ops
SVC-00504,SITE-0256,CUST-024,SD-WAN,50,Field - West
SVC-00505,SITE-0256,CUST-024,Managed Cloud,,Cloud Ops
SVC-00506,SITE-0257,CUST-024,Managed Security,,Security Ops
SVC-00507,SITE-0258,CUST-024,Dedicated Internet,100,Field - West
SVC-00508,SITE-0258,CUST-024,Managed Cloud,,Cloud Ops
SVC-00509,SITE-0259,CUST-025,SD-WAN,100,Field - West
SVC-00510,SITE-0260,CUST-025,MPLS WAN,50,Field - West
SVC-00511,SITE-0261,CUST-026,SD-WAN,50,Field - Prairies
SVC-00512,SITE-0262,CUST-026,Business Voice (SIP),,Voice Ops
SVC-00513,SITE-0262,CUST-026,Dedicated Internet,500,Field - West
SVC-00514,SITE-0262,CUST-026,Managed Security,,Security Ops
SVC-00515,SITE-0263,CUST-026,Managed Cloud,,Cloud Ops
SVC-00516,SITE-0263,CUST-026,Dedicated Internet,10000,Field - West
SVC-00517,SITE-0264,CUST-026,Managed Security,,Security Ops
SVC-00518,SITE-0265,CUST-026,Dedicated Internet,200,Field - West
SVC-00519,SITE-0265,CUST-026,SD-WAN,10000,Field - West
SVC-00520,SITE-0265,CUST-026,Managed Cloud,,Cloud Ops
SVC-00521,SITE-0265,CUST-026,Business Voice (SIP),,Voice Ops
SVC-00522,SITE-0266,CUST-026,Business Voice (SIP),,Voice Ops
SVC-00523,SITE-0267,CUST-026,MPLS WAN,500,Field - West
SVC-00524,SITE-0268,CUST-026,MPLS WAN,500,Field - Ontario
SVC-00525,SITE-0268,CUST-026,SD-WAN,10000,Field - Ontario
SVC-00526,SITE-0268,CUST-026,Managed Security,,Security Ops
SVC-00527,SITE-0269,CUST-026,SD-WAN,1000,Field - West
SVC-00528,SITE-0270,CUST-026,Managed Security,,Security Ops
SVC-00529,SITE-0271,CUST-026,Business Voice (SIP),,Voice Ops
SVC-00530,SITE-0271,CUST-026,Managed Cloud,,Cloud Ops
SVC-00531,SITE-0271,CUST-026,SD-WAN,200,Field - Prairies
SVC-00532,SITE-0272,CUST-026,Dedicated Internet,200,Field - Quebec
SVC-00533,SITE-0272,CUST-026,Managed Cloud,,Cloud Ops
SVC-00534,SITE-0273,CUST-026,Dedicated Internet,10000,Field - West
SVC-00535,SITE-0274,CUST-026,SD-WAN,1000,Field - West
SVC-00536,SITE-0274,CUST-026,Business Voice (SIP),,Voice Ops
SVC-00537,SITE-0274,CUST-026,Dedicated Internet,100,Field - West
SVC-00538,SITE-0275,CUST-026,Business Voice (SIP),,Voice Ops
SVC-00539,SITE-0275,CUST-026,Dedicated Internet,100,Field - Prairies
SVC-00540,SITE-0276,CUST-026,Managed Cloud,,Cloud Ops
SVC-00541,SITE-0277,CUST-026,Managed Security,,Security Ops
SVC-00542,SITE-0278,CUST-027,Managed Security,,Security Ops
SVC-00543,SITE-0279,CUST-027,Dedicated Internet,100,Field - West
SVC-00544,SITE-0279,CUST-027,Managed Security,,Security Ops
SVC-00545,SITE-0279,CUST-027,Managed Cloud,,Cloud Ops
SVC-00546,SITE-0280,CUST-027,Dedicated Internet,2000,Field - West
SVC-00547,SITE-0280,CUST-027,Business Voice (SIP),,Voice Ops
SVC-00548,SITE-0281,CUST-028,Dedicated Internet,50,Field - Quebec
SVC-00549,SITE-0281,CUST-028,SD-WAN,1000,Field - Quebec
SVC-00550,SITE-0281,CUST-028,MPLS WAN,500,Field - Quebec
SVC-00551,SITE-0282,CUST-028,SD-WAN,1000,Field - Atlantic
SVC-00552,SITE-0282,CUST-028,Managed Cloud,,Cloud Ops
SVC-00553,SITE-0283,CUST-028,Managed Cloud,,Cloud Ops
SVC-00554,SITE-0283,CUST-028,Managed Security,,Security Ops
SVC-00555,SITE-0283,CUST-028,Dedicated Internet,1000,Field - Ontario
SVC-00556,SITE-0284,CUST-029,Dedicated Internet,1000,Field - West
SVC-00557,SITE-0284,CUST-029,SD-WAN,100,Field - West
SVC-00558,SITE-0285,CUST-029,Business Voice (SIP),,Voice Ops
SVC-00559,SITE-0285,CUST-029,Dedicated Internet,2000,Field - Ontario
SVC-00560,SITE-0286,CUST-030,Managed Cloud,,Cloud Ops
SVC-00561,SITE-0287,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00562,SITE-0287,CUST-030,Dedicated Internet,500,Field - Ontario
SVC-00563,SITE-0287,CUST-030,SD-WAN,2000,Field - Ontario
SVC-00564,SITE-0288,CUST-030,MPLS WAN,500,Field - Prairies
SVC-00565,SITE-0289,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00566,SITE-0290,CUST-030,Dedicated Internet,2000,Field - Prairies
SVC-00567,SITE-0290,CUST-030,SD-WAN,200,Field - Prairies
SVC-00568,SITE-0291,CUST-030,Dedicated Internet,10000,Field - Prairies
SVC-00569,SITE-0291,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00570,SITE-0291,CUST-030,Managed Security,,Security Ops
SVC-00571,SITE-0291,CUST-030,SD-WAN,50,Field - Prairies
SVC-00572,SITE-0292,CUST-030,MPLS WAN,1000,Field - Prairies
SVC-00573,SITE-0292,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00574,SITE-0293,CUST-030,MPLS WAN,200,Field - West
SVC-00575,SITE-0293,CUST-030,SD-WAN,200,Field - West
SVC-00576,SITE-0293,CUST-030,Managed Security,,Security Ops
SVC-00577,SITE-0294,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00578,SITE-0294,CUST-030,SD-WAN,200,Field - Prairies
SVC-00579,SITE-0295,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00580,SITE-0295,CUST-030,Managed Cloud,,Cloud Ops
SVC-00581,SITE-0295,CUST-030,MPLS WAN,1000,Field - Prairies
SVC-00582,SITE-0296,CUST-030,Dedicated Internet,50,Field - West
SVC-00583,SITE-0297,CUST-030,MPLS WAN,1000,Field - Ontario
SVC-00584,SITE-0297,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00585,SITE-0298,CUST-030,Managed Security,,Security Ops
SVC-00586,SITE-0299,CUST-030,SD-WAN,10000,Field - Prairies
SVC-00587,SITE-0300,CUST-030,MPLS WAN,500,Field - Ontario
SVC-00588,SITE-0300,CUST-030,Managed Security,,Security Ops
SVC-00589,SITE-0300,CUST-030,Dedicated Internet,100,Field - Ontario
SVC-00590,SITE-0300,CUST-030,SD-WAN,100,Field - Ontario
SVC-00591,SITE-0301,CUST-030,Dedicated Internet,1000,Field - Prairies
SVC-00592,SITE-0301,CUST-030,SD-WAN,100,Field - Prairies
SVC-00593,SITE-0301,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00594,SITE-0302,CUST-030,Dedicated Internet,200,Field - Quebec
SVC-00595,SITE-0302,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00596,SITE-0303,CUST-030,SD-WAN,10000,Field - West
SVC-00597,SITE-0303,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00598,SITE-0303,CUST-030,Managed Security,,Security Ops
SVC-00599,SITE-0304,CUST-030,Managed Security,,Security Ops
SVC-00600,SITE-0305,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00601,SITE-0305,CUST-030,SD-WAN,1000,Field - Prairies
SVC-00602,SITE-0306,CUST-030,Managed Cloud,,Cloud Ops
SVC-00603,SITE-0307,CUST-030,SD-WAN,2000,Field - Prairies
SVC-00604,SITE-0307,CUST-030,Managed Cloud,,Cloud Ops
SVC-00605,SITE-0307,CUST-030,Business Voice (SIP),,Voice Ops
SVC-00606,SITE-0308,CUST-030,Managed Security,,Security Ops
SVC-00607,SITE-0308,CUST-030,Managed Cloud,,Cloud Ops
SVC-00608,SITE-0308,CUST-030,Dedicated Internet,100,Field - Prairies
SVC-00609,SITE-0309,CUST-030,Managed Cloud,,Cloud Ops
SVC-00610,SITE-0310,CUST-031,SD-WAN,2000,Field - Ontario
SVC-00611,SITE-0311,CUST-031,Dedicated Internet,100,Field - West
SVC-00612,SITE-0312,CUST-031,Managed Cloud,,Cloud Ops
SVC-00613,SITE-0312,CUST-031,Managed Security,,Security Ops
SVC-00614,SITE-0313,CUST-031,Dedicated Internet,10000,Field - Ontario
SVC-00615,SITE-0313,CUST-031,SD-WAN,1000,Field - Ontario
SVC-00616,SITE-0313,CUST-031,Business Voice (SIP),,Voice Ops
SVC-00617,SITE-0314,CUST-031,Business Voice (SIP),,Voice Ops
SVC-00618,SITE-0314,CUST-031,Managed Cloud,,Cloud Ops
SVC-00619,SITE-0315,CUST-032,Dedicated Internet,200,Field - Ontario
SVC-00620,SITE-0315,CUST-032,SD-WAN,100,Field - Ontario
SVC-00621,SITE-0315,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00622,SITE-0316,CUST-032,Dedicated Internet,500,Field - Ontario
SVC-00623,SITE-0317,CUST-032,SD-WAN,2000,Field - Ontario
SVC-00624,SITE-0317,CUST-032,Managed Cloud,,Cloud Ops
SVC-00625,SITE-0317,CUST-032,MPLS WAN,100,Field - Ontario
SVC-00626,SITE-0318,CUST-032,Managed Security,,Security Ops
SVC-00627,SITE-0318,CUST-032,SD-WAN,1000,Field - Ontario
SVC-00628,SITE-0318,CUST-032,Dedicated Internet,10000,Field - Ontario
SVC-00629,SITE-0319,CUST-032,SD-WAN,100,Field - Quebec
SVC-00630,SITE-0320,CUST-032,Managed Security,,Security Ops
SVC-00631,SITE-0320,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00632,SITE-0321,CUST-032,Managed Security,,Security Ops
SVC-00633,SITE-0321,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00634,SITE-0321,CUST-032,Dedicated Internet,2000,Field - Ontario
SVC-00635,SITE-0322,CUST-032,Managed Security,,Security Ops
SVC-00636,SITE-0323,CUST-032,Dedicated Internet,200,Field - Ontario
SVC-00637,SITE-0323,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00638,SITE-0324,CUST-032,Managed Security,,Security Ops
SVC-00639,SITE-0325,CUST-032,Dedicated Internet,500,Field - Ontario
SVC-00640,SITE-0325,CUST-032,Managed Security,,Security Ops
SVC-00641,SITE-0326,CUST-032,SD-WAN,2000,Field - Ontario
SVC-00642,SITE-0326,CUST-032,Dedicated Internet,100,Field - Ontario
SVC-00643,SITE-0327,CUST-032,Managed Security,,Security Ops
SVC-00644,SITE-0327,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00645,SITE-0328,CUST-032,MPLS WAN,10000,Field - Ontario
SVC-00646,SITE-0328,CUST-032,Managed Security,,Security Ops
SVC-00647,SITE-0328,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00648,SITE-0329,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00649,SITE-0330,CUST-032,Dedicated Internet,500,Field - Quebec
SVC-00650,SITE-0331,CUST-032,MPLS WAN,2000,Field - Ontario
SVC-00651,SITE-0331,CUST-032,Dedicated Internet,2000,Field - Ontario
SVC-00652,SITE-0331,CUST-032,Managed Cloud,,Cloud Ops
SVC-00653,SITE-0332,CUST-032,SD-WAN,1000,Field - Prairies
SVC-00654,SITE-0332,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00655,SITE-0332,CUST-032,Dedicated Internet,500,Field - Prairies
SVC-00656,SITE-0333,CUST-032,Dedicated Internet,2000,Field - West
SVC-00657,SITE-0334,CUST-032,SD-WAN,2000,Field - Ontario
SVC-00658,SITE-0334,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00659,SITE-0334,CUST-032,Dedicated Internet,100,Field - Ontario
SVC-00660,SITE-0335,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00661,SITE-0335,CUST-032,Dedicated Internet,200,Field - Ontario
SVC-00662,SITE-0336,CUST-032,Managed Cloud,,Cloud Ops
SVC-00663,SITE-0336,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00664,SITE-0337,CUST-032,Managed Security,,Security Ops
SVC-00665,SITE-0337,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00666,SITE-0338,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00667,SITE-0339,CUST-032,Managed Security,,Security Ops
SVC-00668,SITE-0339,CUST-032,Business Voice (SIP),,Voice Ops
SVC-00669,SITE-0340,CUST-033,Managed Cloud,,Cloud Ops
SVC-00670,SITE-0340,CUST-033,Business Voice (SIP),,Voice Ops
SVC-00671,SITE-0340,CUST-033,SD-WAN,50,Field - Quebec
SVC-00672,SITE-0340,CUST-033,MPLS WAN,500,Field - Quebec
SVC-00673,SITE-0341,CUST-033,SD-WAN,10000,Field - West
SVC-00674,SITE-0341,CUST-033,Dedicated Internet,10000,Field - West
SVC-00675,SITE-0342,CUST-033,Managed Security,,Security Ops
SVC-00676,SITE-0343,CUST-033,Managed Security,,Security Ops
SVC-00677,SITE-0343,CUST-033,Managed Cloud,,Cloud Ops
SVC-00678,SITE-0343,CUST-033,Business Voice (SIP),,Voice Ops
SVC-00679,SITE-0344,CUST-033,Dedicated Internet,10000,Field - Ontario
SVC-00680,SITE-0344,CUST-033,MPLS WAN,200,Field - Ontario
SVC-00681,SITE-0344,CUST-033,Business Voice (SIP),,Voice Ops
SVC-00682,SITE-0344,CUST-033,SD-WAN,2000,Field - Ontario
SVC-00683,SITE-0345,CUST-033,Dedicated Internet,1000,Field - Quebec
SVC-00684,SITE-0345,CUST-033,Managed Security,,Security Ops
SVC-00685,SITE-0346,CUST-033,MPLS WAN,1000,Field - West
SVC-00686,SITE-0347,CUST-033,Business Voice (SIP),,Voice Ops
SVC-00687,SITE-0348,CUST-033,MPLS WAN,200,Field - West
SVC-00688,SITE-0348,CUST-033,Managed Security,,Security Ops
SVC-00689,SITE-0348,CUST-033,Business Voice (SIP),,Voice Ops
SVC-00690,SITE-0349,CUST-033,Dedicated Internet,200,Field - West
SVC-00691,SITE-0349,CUST-033,Business Voice (SIP),,Voice Ops
SVC-00692,SITE-0349,CUST-033,Managed Cloud,,Cloud Ops
SVC-00693,SITE-0350,CUST-033,Business Voice (SIP),,Voice Ops
SVC-00694,SITE-0350,CUST-033,Managed Cloud,,Cloud Ops
SVC-00695,SITE-0350,CUST-033,SD-WAN,200,Field - Ontario
SVC-00696,SITE-0351,CUST-033,SD-WAN,500,Field - Prairies
SVC-00697,SITE-0352,CUST-033,SD-WAN,500,Field - West
SVC-00698,SITE-0353,CUST-033,Dedicated Internet,500,Field - West
SVC-00699,SITE-0354,CUST-034,Dedicated Internet,500,Field - West
SVC-00700,SITE-0355,CUST-034,Business Voice (SIP),,Voice Ops
SVC-00701,SITE-0355,CUST-034,Dedicated Internet,200,Field - Ontario
SVC-00702,SITE-0355,CUST-034,SD-WAN,2000,Field - Ontario
SVC-00703,SITE-0355,CUST-034,MPLS WAN,500,Field - Ontario
SVC-00704,SITE-0356,CUST-034,Dedicated Internet,500,Field - Prairies
SVC-00705,SITE-0357,CUST-034,Business Voice (SIP),,Voice Ops
SVC-00706,SITE-0358,CUST-034,Business Voice (SIP),,Voice Ops
SVC-00707,SITE-0358,CUST-034,SD-WAN,500,Field - West
SVC-00708,SITE-0358,CUST-034,Dedicated Internet,2000,Field - West
SVC-00709,SITE-0358,CUST-034,Managed Security,,Security Ops
SVC-00710,SITE-0359,CUST-034,Dedicated Internet,50,Field - Ontario
SVC-00711,SITE-0359,CUST-034,Managed Security,,Security Ops
SVC-00712,SITE-0359,CUST-034,Business Voice (SIP),,Voice Ops
SVC-00713,SITE-0360,CUST-034,Managed Cloud,,Cloud Ops
SVC-00714,SITE-0361,CUST-034,MPLS WAN,10000,Field - West
SVC-00715,SITE-0362,CUST-034,Dedicated Internet,100,Field - Quebec
SVC-00716,SITE-0363,CUST-034,Business Voice (SIP),,Voice Ops
SVC-00717,SITE-0364,CUST-034,Business Voice (SIP),,Voice Ops
SVC-00718,SITE-0364,CUST-034,Dedicated Internet,50,Field - Ontario
SVC-00719,SITE-0364,CUST-034,SD-WAN,10000,Field - Ontario
SVC-00720,SITE-0365,CUST-034,Managed Cloud,,Cloud Ops
SVC-00721,SITE-0366,CUST-034,SD-WAN,50,Field - West
SVC-00722,SITE-0367,CUST-034,MPLS WAN,10000,Field - Quebec
SVC-00723,SITE-0367,CUST-034,Managed Security,,Security Ops
SVC-00724,SITE-0367,CUST-034,Dedicated Internet,2000,Field - Quebec
SVC-00725,SITE-0367,CUST-034,SD-WAN,50,Field - Quebec
SVC-00726,SITE-0368,CUST-034,SD-WAN,1000,Field - West
SVC-00727,SITE-0368,CUST-034,Managed Security,,Security Ops
SVC-00728,SITE-0369,CUST-034,Managed Security,,Security Ops
SVC-00729,SITE-0369,CUST-034,Business Voice (SIP),,Voice Ops
SVC-00730,SITE-0370,CUST-035,Dedicated Internet,2000,Field - West
SVC-00731,SITE-0371,CUST-035,SD-WAN,1000,Field - Quebec
SVC-00732,SITE-0371,CUST-035,MPLS WAN,500,Field - Quebec
SVC-00733,SITE-0371,CUST-035,Dedicated Internet,1000,Field - Quebec
SVC-00734,SITE-0371,CUST-035,Business Voice (SIP),,Voice Ops
SVC-00735,SITE-0372,CUST-035,SD-WAN,200,Field - West
SVC-00736,SITE-0372,CUST-035,Business Voice (SIP),,Voice Ops
SVC-00737,SITE-0373,CUST-035,SD-WAN,500,Field - West
SVC-00738,SITE-0374,CUST-035,Dedicated Internet,10000,Field - Ontario
SVC-00739,SITE-0375,CUST-035,Business Voice (SIP),,Voice Ops
SVC-00740,SITE-0375,CUST-035,Dedicated Internet,100,Field - Prairies
SVC-00741,SITE-0376,CUST-035,Business Voice (SIP),,Voice Ops
SVC-00742,SITE-0376,CUST-035,Dedicated Internet,100,Field - Atlantic
SVC-00743,SITE-0377,CUST-035,Dedicated Internet,100,Field - West
SVC-00744,SITE-0377,CUST-035,SD-WAN,500,Field - West
SVC-00745,SITE-0378,CUST-035,Managed Security,,Security Ops
SVC-00746,SITE-0378,CUST-035,SD-WAN,10000,Field - West
SVC-00747,SITE-0379,CUST-035,Dedicated Internet,50,Field - Atlantic
SVC-00748,SITE-0380,CUST-035,Dedicated Internet,50,Field - West
SVC-00749,SITE-0380,CUST-035,MPLS WAN,50,Field - West
